04-29 02:52:05.449   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 36, H1 460928032.000000, H1_norm 43224.238281, H2_norm 0.000000 H2_norm 0.000000, V 339636096.000000, V_norm 31772.697266, HV 400282048.000000, HV_norm 37498.468750, LensPosition 263
04-29 02:52:05.571   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 37, H1 451513312.000000, H1_norm 42326.476562, H2_norm 0.000000 H2_norm 0.000000, V 334477792.000000, V_norm 31269.417969, HV 392995552.000000, HV_norm 36797.945312, LensPosition 261
04-29 02:52:05.700   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 38, H1 440781248.000000, H1_norm 41330.000000, H2_norm 0.000000 H2_norm 0.000000, V 327976896.000000, V_norm 30663.513672, HV 384379072.000000, HV_norm 35996.757812, LensPosition 259
04-29 02:52:05.833   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 39, H1 428852416.000000, H1_norm 40303.027344, H2_norm 0.000000 H2_norm 0.000000, V 321100640.000000, V_norm 30097.791016, HV 374976512.000000, HV_norm 35200.410156, LensPosition 257
04-29 02:52:05.953   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 40, H1 419629664.000000, H1_norm 39392.839844, H2_norm 0.000000 H2_norm 0.000000, V 316487328.000000, V_norm 29631.791016, HV 368058496.000000, HV_norm 34512.316406, LensPosition 255
04-29 02:52:06.098   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 41, H1 406906368.000000, H1_norm 38286.746094, H2_norm 0.000000 H2_norm 0.000000, V 309419040.000000, V_norm 29040.427734, HV 358162688.000000, HV_norm 33663.585938, LensPosition 253
04-29 02:52:06.215   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 42, H1 398557440.000000, H1_norm 37432.691406, H2_norm 0.000000 H2_norm 0.000000, V 304722816.000000, V_norm 28542.912109, HV 351640128.000000, HV_norm 32987.800781, LensPosition 251
04-29 02:52:06.336   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 43, H1 387342880.000000, H1_norm 36423.890625, H2_norm 0.000000 H2_norm 0.000000, V 298834528.000000, V_norm 28015.679688, HV 343088704.000000, HV_norm 32219.785156, LensPosition 249
04-29 02:52:06.469   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 44, H1 377423072.000000, H1_norm 35455.996094, H2_norm 0.000000 H2_norm 0.000000, V 293806880.000000, V_norm 27529.972656, HV 335614976.000000, HV_norm 31492.984375, LensPosition 247
04-29 02:52:06.603   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 45, H1 368710624.000000, H1_norm 34549.078125, H2_norm 0.000000 H2_norm 0.000000, V 289411008.000000, V_norm 27039.738281, HV 329060800.000000, HV_norm 30794.408203, LensPosition 245
04-29 02:52:06.708   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 46, H1 356281888.000000, H1_norm 33535.136719, H2_norm 0.000000 H2_norm 0.000000, V 282318336.000000, V_norm 26498.996094, HV 319300096.000000, HV_norm 30017.066406, LensPosition 243
04-29 02:52:06.838   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 47, H1 347727456.000000, H1_norm 32651.361328, H2_norm 0.000000 H2_norm 0.000000, V 278449920.000000, V_norm 26066.800781, HV 313088704.000000, HV_norm 29359.082031, LensPosition 241
04-29 02:52:06.983   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 48, H1 339177728.000000, H1_norm 31836.900391, H2_norm 0.000000 H2_norm 0.000000, V 273610176.000000, V_norm 25602.609375, HV 306393952.000000, HV_norm 28719.753906, LensPosition 239
04-29 02:52:07.100   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 49, H1 328236448.000000, H1_norm 30726.478516, H2_norm 0.000000 H2_norm 0.000000, V 0.000000, V_norm 0.000000, HV 298237248.000000, HV_norm 27868.796875, LensPosition 237
04-29 02:52:07.215   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 50, H1 319174144.000000, H1_norm 29900.582031, H2_norm 0.000000 H2_norm 0.000000, V 262911152.000000, V_norm 24539.617188, HV 291042656.000000, HV_norm 27220.099609, LensPosition 235
04-29 02:52:07.340   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 51, H1 308243488.000000, H1_norm 28982.658203, H2_norm 0.000000 H2_norm 0.000000, V 256443616.000000, V_norm 24021.654297, HV 282343552.000000, HV_norm 26502.156250, LensPosition 233
04-29 02:52:07.472   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 52, H1 300915488.000000, H1_norm 28144.990234, H2_norm 0.000000 H2_norm 0.000000, V 254022144.000000, V_norm 23672.912109, HV 277468800.000000, HV_norm 25908.951172, LensPosition 231
04-29 02:52:07.592   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 53, H1 292503936.000000, H1_norm 27372.726562, H2_norm 0.000000 H2_norm 0.000000, V 248558272.000000, V_norm 23186.140625, HV 270531104.000000, HV_norm 25279.433594, LensPosition 229
04-29 02:52:07.727   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 54, H1 282328864.000000, H1_norm 26466.150391, H2_norm 0.000000 H2_norm 0.000000, V 242988336.000000, V_norm 22694.050781, HV 262658592.000000, HV_norm 24580.101562, LensPosition 227
04-29 02:52:07.847   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 55, H1 275103584.000000, H1_norm 25759.769531, H2_norm 0.000000 H2_norm 0.000000, V 239008784.000000, V_norm 22283.320312, HV 257056192.000000, HV_norm 24021.544922, LensPosition 225
04-29 02:52:07.975   680  4926 D mm-camera: <STATS_AF ><  LOW> 132: af_fullsweep_srch_far_to_near: Index 56, H1 268055504.000000, H1_norm 25011.777344, H2_norm 0.000000 H2_norm 0.000000, V 235592320.000000, V_norm 21900.123047, HV 251823904.000000, HV_norm 23455.949219, LensPosition 223
