01-19 06:33:40.082   831  2366 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=25, pd=-20.24, defocus(um)=-134, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.135   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=251 index=26, pd=-19.90, defocus(um)=-132, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.185   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=27, pd=-19.72, defocus(um)=-131, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.238   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=28, pd=-18.97, defocus(um)=-126, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.289   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=243 index=29, pd=-18.26, defocus(um)=-121, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.339   831  2365 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=235 index=30, pd=-17.98, defocus(um)=-119, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.392   831  2369 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=235 index=31, pd=-16.88, defocus(um)=-112, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.442   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=235 index=32, pd=-16.06, defocus(um)=-106, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.494   831  2368 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=227 index=33, pd=-15.73, defocus(um)=-104, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-19 06:33:40.545   831  2367 V CamX    : [ VERB][STATS_AF ] af_haf_pdaf.cpp:4985: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=227 index=34, pd=-14.45, defocus(um)=-96, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
