01-26 10:47:33.777  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=295 index=49, pd=-2.16, defocus(um)=-120, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.810  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=0, pd=-2.03, defocus(um)=-111, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.845  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=1, pd=-2.04, defocus(um)=-113, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.878  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=287 index=2, pd=-2.03, defocus(um)=-113, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.912  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=3, pd=-1.90, defocus(um)=-104, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.945  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=4, pd=-1.84, defocus(um)=-101, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:33.978  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=279 index=5, pd=-1.79, defocus(um)=-99, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.012  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=6, pd=-1.62, defocus(um)=-89, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.048  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=7, pd=-1.61, defocus(um)=-89, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.079  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=271 index=8, pd=-1.58, defocus(um)=-87, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.112  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=9, pd=-1.51, defocus(um)=-83, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.147  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=10, pd=-1.51, defocus(um)=-83, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.181  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=263 index=11, pd=-1.55, defocus(um)=-85, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.211  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=12, pd=-1.47, defocus(um)=-80, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.248  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=13, pd=-1.43, defocus(um)=-78, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.280  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=255 index=14, pd=-1.43, defocus(um)=-78, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.311  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=15, pd=-1.37, defocus(um)=-75, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.345  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=16, pd=-1.35, defocus(um)=-75, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.379  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=247 index=17, pd=-1.31, defocus(um)=-71, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.411  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=18, pd=-1.22, defocus(um)=-68, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.444  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=19, pd=-1.14, defocus(um)=-62, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.476  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=239 index=20, pd=-1.15, defocus(um)=-62, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.511  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=231 index=21, pd=-1.05, defocus(um)=-57, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.644  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=223 index=25, pd=-0.90, defocus(um)=-48, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.679  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=223 index=26, pd=-0.89, defocus(um)=-48, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.707  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=27, pd=-0.72, defocus(um)=-40, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.745  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=28, pd=-0.69, defocus(um)=-38, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.779  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=215 index=29, pd=-0.70, defocus(um)=-38, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.810  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=30, pd=-0.67, defocus(um)=-36, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.846  1257  2053 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=31, pd=-0.68, defocus(um)=-36, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.877  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=207 index=32, pd=-0.69, defocus(um)=-38, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.911  1257  2049 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=33, pd=-0.50, defocus(um)=-27, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.943  1257  2051 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=34, pd=-0.47, defocus(um)=-26, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:34.977  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=199 index=35, pd=-0.53, defocus(um)=-27, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=TRUE
01-26 10:47:35.046  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=1, pd=-0.90, defocus(um)=-57, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 10:47:35.077  1257  2052 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=2, pd=-0.89, defocus(um)=-55, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
01-26 10:47:35.111  1257  2050 I CamX    : [ CONFIG][STATS_AF ] af_haf_pdaf.cpp:5223: af_pdaf_proc_pd_single CID:[0] roi(0) lens_pos=191 index=3, pd=-0.87, defocus(um)=-55, conf=1023, is_conf=TRUE, not_conf_cnt=0, is_stable=FALSE
